Fecha y hora,Género,Edad actual,País,Ciudad,Relato,RelatoFixedReplaced,RelatoFixedTranslated,polarity,review_len,word_count
2018-11-09 01:47:09,,19,Argentina,,"Sufri el abuso sexual desde que tengo memoria por parte de un familiar directo. (5 años más o menos de abusos) Todo acabó cuando me fui a vivir otra provincia, pero lo sueño cada noche, tengo fobia al salir sola. Veo su cara en las ventanillas del bondi, siento que me persigue. 
 Todo esto me ha llevado a tener paranoia, intentos de suicidio, ataques de ansiedad. 
 Todo esto cambió hace poco más de un año cuando me escuchó (y creyó) una profe de la secundaria. Me ayudó a tomar terapia, a ser mejor. Me enseño que había algo por lo que luchar, que la vida vale la pena. 
 ",Sufrí el abuso sexual desde que tengo memoria por parte de un familiar directo. (5 años más o menos de abusos Todo acabó cuando me fui a vivir otra provincia pero lo sueño cada noche tengo fobia al salir sola. Veo su cara en las ventanillas del bondad siento que me persigue. Todo esto me ha llevado a tener paranoia intentos de suicidio ataques de ansiedad. Todo esto cambió hace poco más de un año cuando me escuchó y creyó una profe de la secundaria. Me ayudó a tomar terapia a ser mejor. Me enseño que había algo por lo que luchar que la vida vale la pena.,I have suffered sexual abuse for as long as I can remember from an immediate family member. (5 years or so of abuse It all ended when I went to live in another province but I dream of it every night I have a phobia when I go out alone. I see his face in the windows of kindness I feel that he is persecuting me. All this has led me to have paranoia attempts of suicide anxiety attacks. This all changed a little over a year ago when she heard me and believed a high school teacher. She helped me take therapy to be better. She taught me that there was something to fight for that life is worth. .,-0.9485,560,108
2018-12-12 20:55:28,,19,Argentina,,"Siento tanta bronca, tanta impotencia. Todo es tomado para la burla. No se puede vivir en esta sociedad de mierda, te juzgan por lo que haces, por lo que no haces. Si ""provocas"" eso del ""provocar"" me da por los ovarios. Nuestro guardaropas no gira en torno a una bragueta! Y para demostrarlo voy a contar mi situación:
 Cuando yo tenía 6 años tal vez 7,  mi ""hermano"" mayor abuso sexualmente de mi, muchisimas veces. Durante años que lo hizo, yo llevaba puesto mi guardapolvo de la primaria. Eso provoco que me violara?! Yo no andaba sola por la noche, yo no estaba en una joda. Yo estaba en mi casa, tapandome hasta la cabeza rogando que no me volviera a violar con un palo, o con un lapiz, o con sus asquerosas manos. O con lo que fuere... A los 15, en la fiesta de navidad me manoseo por debajo de mi vestido. Fue la ultima vez que ocurrió... 
  No puedo denunciar todavia porque ya me imagino las excusas que sacarian para defenderlo: Que mi vestido era corto?! Que si tome?! Que si lo ""provoque""? Etc! Y No! No! No y NO!  
 Sueño con el dia en el que se deje de juzgar, de culpabilizar a la mujer que denuncia. La ropa que llevamos no define el respeto que merecemos. 
 Espero algun dia, no muy lejano, y a pesar de las consecuencias. Tomar el valor que necesito para denunciarlo de una vez por todas. Juro que lo intento, pero no puedo! Voy a la comisaría, no logro entrar. Siento como las heridas se abren, que se me cierra el pecho. Me vienen los recuerdos uno a uno, no lo puedo soportar! Me voy... Y luego pienso en ella. Pienso en que denunciar Ya no me salvara a mi, pero puede salvarla a ella. Tengo que ser valiente por mi sobrinita, tengo que hacerlo por ella. ","Siento tanta bronca tanta impotencia. Todo es tomado para la burla. No se puede vivir en esta sociedad de mierda te juzgan por lo que haces por lo que no haces. Si provocativo eso del provocar me da por los ovarios. Nuestro guardarropas no gira en torno a una bragueta Y para demostrarlo voy a contar mi situación Cuando yo tenía 6 años tal vez 7, mi hermano mayor abuso sexualmente de mi muchísimas veces. Durante años que lo hizo yo llevaba puesto mi guardapolvo de la primaria. Eso provoco que me violar Yo no andaba sola por la noche yo no estaba en una joda. Yo estaba en mi casa tapándome hasta la cabeza rogando que no me volviera a violar con un palo o con un lapiza o con sus asquerosas manos. O con lo que fuere... A los 15, en la fiesta de navidad me manoseo por debajo de mi vestido. Fue la ultima vez que ocurrió... No puedo denunciar todavía porque ya me imagino las excusas que sacarían para defenderlo Que mi vestido era corto Que si tomento Que si lo ""provoque""? Etc Y Noé Noé No y NO Sueño con el día en el que se deje de juzgar de culpabilizar a la mujer que denuncia. La ropa que llevamos no define el respeto que merecemos. Espero algún dial no muy lejano y a pesar de las consecuencias. Tomar el valor que necesito para denunciarlo de una vez por todas. Juro que lo intento pero no puedo Voy a la comisaría no logro entrar. Siento como las heridas se abren que se me cierra el pecho. Me vienen los recuerdos uno a uno no lo puedo soportar Me voy... Y luego pienso en ella. Pienso en que denunciar Ya no me salvara a mi pero puede salvarla a ella. Tengo que ser valiente por mi sobrinazgo tengo que hacerlo por ella.","I feel so much anger so much helplessness. Everything is taken for ridicule. You can&#39;t live in this shitty society. They judge you for what you do for what you don&#39;t do. If provocative, that provokes me by the ovaries. Our wardrobes don&#39;t revolve around a fly. And to prove it, I&#39;m going to tell my situation. When I was 6, maybe 7, my older brother sexually abused me many times. For years he did, I wore my primary overalls. That caused me to rape. I was not alone at night I was not in a fuck. I was at home covering my head, begging me not to rape me again with a stick or a pencil or with his filthy hands. Or whatever it is ... At 15, at the Christmas party I grope under my dress. It was the last time it happened ... I still can&#39;t denounce because I already imagine the excuses they would get to defend it That my dress was short What if I took What if I &quot;provoked&quot; it? Etc And Noah Noah No and NO I dream of the day when I stop judging myself of blaming the woman who denounces. The clothing we wear does not define the respect we deserve. I expect some dial not too far away and despite the consequences. Take the courage I need to report it once and for all. I swear I try but I can&#39;t. I go to the police station and I can&#39;t get in. I feel the wounds open as my chest closes. Memories come to me one by one I can&#39;t bear it I&#39;m leaving ... And then I think about her. I think that reporting will no longer save me but it can save her. I have to be brave for my niece, I have to do it for her.",-0.7545,1637,316
2020-01-26 23:51:57,,20,Argentina,,"Hace tiempo que llevo una vida ""normal"" estudio,hago deporte, estoy en pareja, tengo mi rutina, etc. 
 Pero todo eso se ve ensombrecido por la cantidad de malos recuerdos que pasan por mi mente. Puedo estar resolviendo integrales, y de pronto, así sin más... puedo ver a mi padre manoseando mi cola, puedo estar en el gym, y mientras voy contando los minutos de la cinta caminadora recuerdo a mi hermano violandome todas las noches. Quiero hacer lo que sea manteniendome ocupada, y aún así me atormentan los recuerdos de mis múltiples asaltos sexuales. 
A los 14 me mudé lejos de ellos. Crei librarme de los abusos, pero en ese entonces mi tío quiso aprovecharse de mi  por suerte se detuvo, pero llego a a manosearme y besarme. Hace poco un desconocido me apoyó todo el trayecto en el bondi, y así podría estar toda la maldita noche. 
 No importa que tan ocupada me mantenga, no importa que tanta terapia haga, no importa si lo digo o no. El único que me cree y me apoya es mi pareja, pero ya no quiero tener que ir con esto todos los días, el no tiene problemas en escucharme cuantas veces sea necesario  todos los días me pregunta si estoy bien  si necesito algo  hasta a veces me pregunta lo mismo varias veces en un mismo día. Y me encanta que sea si, solo que soy yo, que ya no quiero tener que contarle lo mismo una y otra vez, no quiero ir con mis problemas con el, por me tengo miedo de cansarlo, tengo miedos irracionales, tengo miedo de todo, tengo demasiadas inseguridades que ya no se con quien hablarlas, no tengo buenas amigas si quiera, solo conocidas.
 Hasta hace unos meses había dejado de pensar en los abusos, casi no tenía recuerdos. Y cuando creo que estoy superandolo, me derrumbo. Una voz, una frase, un lugar me lleva de nuevo a la espiral de la que crei salir, y vuelvo a caer. Me levanto y vuelvo a caer, y ya me caí otra vez. Y esta vez no se si quiero levantarme... 
 Cuando me anime a contar lo del abuso (hace unos 3 años) se lo dije a pocas personas, y luego atravesé una etapa en la que se lo decía a cualquiera que estuviera dispuesto a escucharme y me inspirara confianza, sentía una sensación que me quemaba, necesitaba gritarlo, necesitaba decirlo. Quería que por una vez alguien viera lo mucho que me habían dañado, lo rota que me habían dejado. Y en parte me quité un gran peso de encima cuando lo contaba, pero ahora me encuentro de nuevo en esa etapa. Queriendo hablar, queriendo decir los detalles, tal vez así se den cuenta de lo que es estar en mi lugar. Muchos sabemos que fui abusada, no saben como, de que formas... y esos detalles son mis cicatrices más profundas. 
 Ocurrieron tantas veces, y con tantas cosas que hasta olvide la cuenta... 
 No quiero vivir más así, que mi vida gire en torno al abuso. No quiero, ya no.... pero no se que hacer. No quiero que me sigan pasando los años y seguir amargada, seguir exaltando me por todo, asustarme así se cierre la puerta apenas fuerte, ya no quiero que mi corazón de un vuelco si alguien grita. Quiero hacer el amor con mi pareja, quiero hacerlo sin tener que frenar en medio del acto solo porque yo vi a mi agresor en su cara. 
 Siempre me pregunto, porque yo? Porque me escogieron a mi? 
 Porque mi mamá y el resto de mis hermanos me dieron la espalda? No desconfían si digo que me robaron la cartera, porque con la violación tiene que ser diferente? Que ganaría con mentir? Si lo Perdi todo, perdí confianza, seguridad,perdí algo que no se si tiene nombre. Pero lo siento acá en pecho, algo me falta. Ellos me lo quitaron. Y no lo voy a recuperar nunca.",Hace tiempo que llevo una vida normal estudiosidad deporte estoy en pareja tengo mi rutina etc. Pero todo eso se ve ensombrecido por la cantidad de malos recuerdos que pasan por mi mente. Puedo estar resolviendo integrales y de pronto así sin más... puedo ver a mi padre manoseando mi cola puedo estar en el Guaymas y mientras voy contando los minutos de la cinta caminadora recuerdo a mi hermano violan dome todas las noches. Quiero hacer lo que sea manteniéndome ocupada y aún así me atormentan los recuerdos de mis múltiples asaltos sexuales. A los 14 me mudé lejos de ellos. Creí librarme de los abusos pero en ese entonces mi tío quiso aprovecharse de mi por suerte se detuvo pero llego a a manosearme y besarme. Hace poco un desconocido me apoyó todo el trayecto en el bondad y así podría estar toda la maldita noche. No importa que tan ocupada me mantenga no importa que tanta terapia haga no importa si lo digo o no. El único que me cree y me apoya es mi pareja pero ya no quiero tener que ir con esto todos los días el no tiene problemas en escucharme cuantas veces sea necesario todos los días me pregunta si estoy bien si necesito algo hasta a veces me pregunta lo mismo varias veces en un mismo día. Y me encanta que sea si solo que soy yo que ya no quiero tener que contarle lo mismo una y otra vez no quiero ir con mis problemas con el por me tengo miedo de cansarlo tengo miedos irracionales tengo miedo de todo tengo demasiadas inseguridades que ya no se con quien haberlas no tengo buenas amigas si quiera solo conocidas. Hasta hace unos meses había dejado de pensar en los abusos casi no tenía recuerdos. Y cuando creo que estoy superabundar me derrumbo. Una voz una frase un lugar me lleva de nuevo a la espiral de la que creí salir y vuelvo a caer. Me levanto y vuelvo a caer y ya me caí otra vez. Y esta vez no se si quiero levantarme... Cuando me anime a contar lo del abuso hace unos 3 años se lo dije a pocas personas y luego atravesé una etapa en la que se lo decía a cualquiera que estuviera dispuesto a escucharme y me inspirara confianza sentía una sensación que me quemaba necesitaba gritarlo necesitaba decirlo. Quería que por una vez alguien viera lo mucho que me habían dañado lo rota que me habían dejado. Y en parte me quité un gran peso de encima cuando lo contaba pero ahora me encuentro de nuevo en esa etapa. Queriendo hablar queriendo decir los detalles tal vez así se den cuenta de lo que es estar en mi lugar. Muchos sabemos que fui abusada no saben como de que formas... y esos detalles son mis cicatrices más profundas. Ocurrieron tantas veces y con tantas cosas que hasta olvide la cuenta... No quiero vivir más así que mi vida gire en torno al abuso. No quiero ya no.... pero no se que hacer. No quiero que me sigan pasando los años y seguir amargada seguir exaltando me por todo asustarme así se cierre la puerta apenas fuerte ya no quiero que mi corazón de un vuelco si alguien grita. Quiero hacer el amor con mi pareja quiero hacerlo sin tener que frenar en medio del acto solo porque yo vi a mi agresor en su cara. Siempre me pregunto porque yo Porque me escogieron a mi Porque mi mamá y el resto de mis hermanos me dieron la espalda No desconfían si digo que me robaron la cartera porque con la violación tiene que ser diferente Que ganaría con mentir Si lo Perdí todo perdí confianza seguridad algo que no se si tiene nombre. Pero lo siento acá en pecho algo me falta. Ellos me lo quitaron. Y no lo voy a recuperar nunca.,"I have been leading a normal life for a long time, studying sports, I&#39;m in a couple, I have my routine, etc. But all that is overshadowed by the amount of bad memories that go through my mind. I can be solving integrals and suddenly like that ... I can see my father fingering my tail I can be in the Guaymas and while I am counting the minutes of the treadmill I remember my brother violate dome every night. I want to do whatever it takes to keep myself busy and still haunted by memories of my multiple sexual assaults. At 14 I moved away from them. I thought I was free of abuse but at that time my uncle wanted to take advantage of me, luckily he stopped but he got to grope and kiss me. A stranger recently supported me all the way in kindness and so I could be all damn night. It doesn&#39;t matter how busy I keep, no matter how much therapy I do, it doesn&#39;t matter if I say it or not. The only one who believes and supports me is my partner but I no longer want to have to go with this every day he has no problem listening to me as many times as necessary every day he asks me if I am okay if I need something until sometimes he asks me what same several times in the same day. And I love that it is if it&#39;s just me that I don&#39;t want to have to tell him the same thing over and over again I don&#39;t want to go with my problems with him because I&#39;m afraid of tiring him I have irrational fears I&#39;m afraid of everything I have too many insecurities that I don&#39;t I know who to have them with, I don&#39;t have good friends if I only know them. Until a few months ago, I had stopped thinking about abuse and had almost no memories. And when I think I&#39;m superabundant I collapse. A voice a phrase a place takes me back to the spiral from which I thought I came out and fall again. I get up and fall again and I already fell again. And this time I don&#39;t know if I want to get up ... When I was encouraged to tell about the abuse about 3 years ago, I told a few people and then I went through a stage where I would tell anyone who was willing to listen to me and inspire me. Confidence felt a burning sensation. I needed to shout it. I needed to say it. I wanted for once someone to see how much they had damaged me how broken they had left me. And in part I took a big weight off myself when I was counting it but now I find myself in that stage again. Wanting to talk, wanting to tell the details, maybe they will realize what it is like to be in my place. Many of us know that I was abused, they don&#39;t know in what ways ... and those details are my deepest scars. They happened so many times and with so many things that I even forgot the account ... I don&#39;t want to live anymore so my life revolves around abuse. I don&#39;t want to anymore ... but I don&#39;t know what to do. I do not want the years to go by and continue to be bitter continue to exalt me for everything to scare me so the door closes just as hard I no longer want my heart to turn if someone screams. I want to make love with my partner I want to do it without having to stop in the middle of the act just because I saw my aggressor in his face. I always wonder why I Because they chose me Because my mother and the rest of my brothers turned their backs on me They don&#39;t distrust if I say that they stole my wallet because with rape it has to be different What would I gain by lying If I lost everything I lost confidence security something I don&#39;t know if it has a name. But I feel it here in my chest, something is missing. They took it from me. And I will never get it back.",-0.9888,3472,657
2018-04-30 17:56:56,,,Argentina,,Tenía un supuesto tío.. desde que tengo uso de razón hasta los 8 años me manoseaba yo lloraba cada vez q lo veía no lo quería cerca. A los 12 le conté a mi mamá la cual nunca hizo nada . Al mismo tiempo le hacía lo mismo a mi prima de un año mayor que yo. Mi mama dice que lo encaró y lo puteo. Yo no le creo. Ahora él es policía comisario nose que. Yo lo cruzo a veces y me dan ganas de tirarle el auto por encima!,Tenía un supuesto tío.. desde que tengo uso de razón hasta los 8 años me manoseaba yo lloraba cada vez a lo veía no lo quería cerca. A los 12 le conté a mi mamá la cual nunca hizo nada . Al mismo tiempo le hacía lo mismo a mi prima de un año mayor que yo. Mi mama dice que lo encaró y lo puteo. Yo no le creo. Ahora él es policía comisario nos que. Yo lo cruzo a veces y me dan ganas de tirarle el auto por encima,"I had a supposed uncle ... from the time I am able to reason until I was 8 years old, he groped me and I cried every time I saw him, I didn&#39;t want him around. At 12 I told my mom who never did anything. At the same time, I did the same to my one-year-old cousin. My mom says she faced him and bitched him. I do not believe him. Now he&#39;s a police commissioner to us that. I cross it sometimes and it makes me want to throw the car over it",-0.6808,413,92
2018-04-30 18:08:41,,,Argentina,,"Hace 30 años cuando cumple 15 años mi mamá me dijo que tenía que entregarme mi papá fue ahí donde mi mundo se hizo pedazos, de lo contrario tenía que irme de mi casa vivía en un pueblo muy pequeño no tenía familia cerca y todas las veces que podemos resistir hasta que un día fui víctima de mi papá me violó reiteradas veces pasaron los años y mi hermano mayor que yo me quiso violar y me salvé Gracias a que llegó mi tía luego de todo esto falleció mi papá mi madre envejeció Me tuve que hacer cargo de ella al ser la más chica él hermano que intentó violar mes era discapacitado por decirle una manera sufría de epilepsia Así que también tuve que estar a cargo de él y de mi madre pasaron los años mi hermano mi padre murió mi hermano también falleció pero mi madre todavía está viva Yo me estoy haciendo cargo de ella gracias a todos estos acontecimientos a lo largo de mi vida fui sufriendo muchos problemas psiquiátricos tengo trastorno bipolar el cual fue detectado hace dos años y tratados antes de eso nadie nadie me lo trató porque poco tenía acceso a salud pública le cuento esto yo porque mi mamá no se anima",Hace 30 años cuando cumple 15 años mi mamá me dijo que tenía que entregarme mi papá fue ahí donde mi mundo se hizo pedazos de lo contrario tenía que irme de mi casa vivía en un pueblo muy pequeño no tenía familia cerca y todas las veces que podemos resistir hasta que un día fui víctima de mi papá me violó reiteradas veces pasaron los años y mi hermano mayor que yo me quiso violar y me salvé Gracias a que llegó mi tía luego de todo esto falleció mi papá mi madre envejeció Me tuve que hacer cargo de ella al ser la más chica él hermano que intentó violar mes era discapacitado por decirle una manera sufría de epilepsia Así que también tuve que estar a cargo de él y de mi madre pasaron los años mi hermano mi padre murió mi hermano también falleció pero mi madre todavía está viva Yo me estoy haciendo cargo de ella gracias a todos estos acontecimientos a lo largo de mi vida fui sufriendo muchos problemas psiquiátricos tengo trastorno bipolar el cual fue detectado hace dos años y tratados antes de eso nadie nadie me lo trató porque poco tenía acceso a salud pública le cuento esto yo porque mi mamá no se anima,"30 years ago when I turned 15 my mom told me that I had to give myself up my dad was there where my world fell apart otherwise I had to leave my house I lived in a very small town I had no family nearby and as many times as we can resist until one day I was a victim of my dad raped me repeatedly the years passed and my older brother who wanted to rape me and I was saved Thanks to the fact that my aunt arrived after all this my dad died my mother grew old I had to take charge of her being the youngest he brother who tried to rape month was disabled for telling him a way he suffered from epilepsy So I also had to be in charge of him and my mother spent the years my brother my father died my brother also died but my mother is still alive I am taking care of her thanks to all these events throughout my life I suffered many psychiatric problems I have bipolar disorder which was detected two years ago and treated before I know that nobody nobody treated me because I had little access to public health, I tell you this because my mother is not encouraged",-0.947,1118,214
2018-04-30 18:52:14,,,Argentina,,"él marido de mi mamá abusó de mí desde los ocho hasta los once años, me decía que me amaba y que si decía algo le podía pasar algo a mi mamá o a mi familia. Me hacía decirle que también lo amaba y que cuando creciera me iba a ir con él. Cuando nos quedamos solos me obligaba a estar sin ropa, esto es lo más leve.. Hay cosas que no puedo decir.. Un día me cansé y se lo dije a mi mamá, sin detalles claro, hicimos la denuncia y archivaron la causa por falta de pruebas, porque no quise contar todo lo que pasaba. 
A los 17 lo vi en un cumpleaños, me fui y me siguió, no estaba solo, me violaron, me quedé quieta, hasta llegué a pensar que era mi culpa y no pude contarlo nunca porque siempre pensé que no me creerían. Todavía vivo con miedo y depresión, a pesar de que pasaron algunos años.",él marido de mi mamá abusó de mí desde los ocho hasta los once años me decía que me amaba y que si decía algo le podía pasar algo a mi mamá o a mi familia. Me hacía decirle que también lo amaba y que cuando creciera me iba a ir con él. Cuando nos quedamos solos me obligaba a estar sin ropa esto es lo más leve.. Hay cosas que no puedo decir.. Un día me cansé y se lo dije a mi mamá sin detalles claro hicimos la denuncia y archivaron la causa por falta de pruebas porque no quise contar todo lo que pasaba. A los 17 lo vi en un cumpleaños me fui y me siguió no estaba solo me violaron me quedé quieta hasta llegué a pensar que era mi culpa y no pude contarlo nunca porque siempre pensé que no me creerían. Todavía vivo con miedo y depresión a pesar de que pasaron algunos años.,"My mother&#39;s husband abused me from the age of eight to eleven, he told me that he loved me and that if he said something, something could happen to my mother or my family. He made me tell him that I also loved him and that when he grew up I was going to go with him. When we were alone, he forced me to be without clothes, this is the slightest ... There are things that I can&#39;t say ... One day I got tired and I told my mother without clear details, we made the complaint and filed the case for lack of evidence because I didn&#39;t want to tell everything that was happening. At 17 I saw him on a birthday I left and he followed me he was not alone they raped me I stayed still until I thought it was my fault and I could never tell it because I always thought that they would not believe me. I still live in fear and depression even though a few years have passed.",-0.929,778,161
2018-04-30 18:56:13,,,Argentina,,"Tenía 16 años. Estaba en mi fiesta para juntar fondos de egresados. 
Estaba tomando cuando un conocido me saco Luego me acuerdo de flashes nada más. Lo que sé es que abusó de mi. No podía defenderme. Nunca se lo conté a nadie. Lo cuento yo. Porque estoy viva. ",Tenía 16 años. Estaba en mi fiesta para juntar fondos de egresados. Estaba tomando cuando un conocido me saco Luego me acuerdo de flashes nada más. Lo que sé es que abusó de mi. No podía defenderme. Nunca se lo conté a nadie. Lo cuento yo. Porque estoy viva.,Was 16 years old. I was at my party to raise alumni funds. I was drinking when an acquaintance took me out. Then I remember flashing nothing else. What I know is that he abused me. I couldn&#39;t defend myself. I never told anyone. I tell it. Because I&#39;m alive.,0.25,258,49
2018-04-30 19:09:22,,,Argentina,,"Un familiar  manoseaba y acosaba a las mujeres de la familia desde chicas, era extremadamente celoso y si algo lo enojaba terminaba golpeandonos (por la vestimenta, por hablar con alguien del sexo opuesto, por invitar gente a casa), golpeaba a su madre si no tenía plata para darle. Lo mismo repetía con su mujer y su hija, fue denunciado muchas veces, pero siempre volvió. Es extraño ver cómo a lo largo del tiempo parte de la familia miró a un costado y hace de cuenta que no pasó nada.",Un familiar manoseaba y acosaba a las mujeres de la familia desde chicas era extremadamente celoso y si algo lo enojaba terminaba golpeándonos por la vestimenta por hablar con alguien del sexo opuesto por invitar gente a casaca golpeaba a su madre si no tenía plata para darle. Lo mismo repetía con su mujer y su hija fue denunciado muchas veces pero siempre volvió. Es extraño ver cómo a lo largo del tiempo parte de la familia miró a un costado y hace de cuenta que no pasó nada.,"A relative groped and harassed the women of the family since they were girls, he was extremely jealous and if something made him angry, he ended up hitting us by the clothes for talking to someone of the opposite sex for inviting people to wear a jacket, hitting his mother if he didn&#39;t have money to give her. He repeated the same thing with his wife and his daughter was denounced many times but he always came back. It is strange to see how, over time, part of the family looked aside and pretended that nothing happened.",-0.7267,481,89
2018-04-30 19:10:16,,,Argentina,,"Un familiar  manoseaba y acosaba a las mujeres de la familia desde chicas, era extremadamente celoso y si algo lo enojaba terminaba golpeandonos (por la vestimenta, por hablar con alguien del sexo opuesto, por invitar gente a casa), golpeaba a su madre si no tenía plata para darle. Lo mismo repetía con su mujer y su hija, fue denunciado muchas veces, pero siempre volvió. Es extraño ver cómo a lo largo del tiempo parte de la familia miró a un costado y hace de cuenta que no pasó nada.",Un familiar manoseaba y acosaba a las mujeres de la familia desde chicas era extremadamente celoso y si algo lo enojaba terminaba golpeándonos por la vestimenta por hablar con alguien del sexo opuesto por invitar gente a casaca golpeaba a su madre si no tenía plata para darle. Lo mismo repetía con su mujer y su hija fue denunciado muchas veces pero siempre volvió. Es extraño ver cómo a lo largo del tiempo parte de la familia miró a un costado y hace de cuenta que no pasó nada.,"A relative groped and harassed the women of the family since they were girls, he was extremely jealous and if something made him angry, he ended up hitting us by the clothes for talking to someone of the opposite sex for inviting people to wear a jacket, hitting his mother if he didn&#39;t have money to give her. He repeated the same thing with his wife and his daughter was denounced many times but he always came back. It is strange to see how, over time, part of the family looked aside and pretended that nothing happened.",-0.7267,481,89
2018-04-30 19:17:45,,,Argentina,,"Cuando tenía alrededor de 4 años mi primo de 14 se masturbo enfrente mío, yo lo único que le dije a mi mamá es que él pito del *** había vomitado, mi padre en vez de defenderme se enojo con mi mamá por enojarse... lo cuento yo porque lo viví. No recuerdo si me manoseó y esto lo recuerdo porque en mi casa me contaron ",Cuando tenía alrededor de 4 años mi primo de 14 se masturbo enfrente mío yo lo único que le dije a mi mamá es que él pito del *** había vomitado mi padre en vez de defenderme se enojo con mi mamá por enojarse... lo cuento yo porque lo viví. No recuerdo si me manoseó y esto lo recuerdo porque en mi casa me contaron,"When I was around 4 years old, my 14-year-old cousin masturbated in front of me. The only thing I said to my mother was that he *** had *** my father had vomited instead of defending me, he was angry with my mother for getting angry ... I count because I lived it. I don&#39;t remember if he groped me and I remember this because in my house they told me",-0.765,315,65
