Código,Fecha y hora,Nombre,Género,Edad actual,País,Ciudad,¿Quieres que revisemos la ortografía e ilación de tu relato? ,Relato,Número
Republicado,4/30/2018 9:52:39,Anónimo,,,México,,,"hace tres años un 24 de diciembre estaba toda mi familia reunida y yo estaba con un primo que en ese momento me la llevaba muy bien, y eramos inseparables... Todos estuvieron tomando y para cuando nos fuimos a dormir él me violó, no dije nada por miedo a que no me creyeran... Hasta el día de hoy no le he dicho a mi familia... #Cuéntalo ",0
Republicado,4/30/2018 11:46:46,Anónimo,,,Colombia ,,,"Desde mis 10 años hasta mis trece años,fui abusada por él esposo de mi tía,nunca quise decir nada,en todo este tiempo he tenido intentos de suicidio y depresión.Cuando por fin decidí contarle a mi madre,me hizo quedarme en silencio... Hace menos de una semana de camino a casa,un hombre me siguió,me arrincono,empezó a tocarme,y abuso de mi.
Lo cuento yo,porque no soportó más el silencio... #cuéntalo ",0
Republicado,4/30/2018 12:55:02,Anónimo,,,México,,,"Hola cuando tenía 12 años fui abusada por mi primo cuando vivía en su casa, porque mi papá me había corrido,él entraba todas las noches a tocarme y a abusar de mí, le conté a mis padres y mi papá solo dijo que yo tenía la culpa y podía defenderme sola

Hoy en día tengo 20 años y tengo pesadillas con eso,mi esposo no me deja nunca sola si está él y siempre me protege 
#cuentalo",0
Republicado,4/30/2018 13:04:31,Anónimo,,,México,,,"Mi nombre es Marifer tengo 15 años, mi madre esta con un hombre ya hace 10 años, él es mi padrastro mi madre trabaja todos los fines de semana en turno nocturno de viernes a domingo, y él aprovecha para abusar de mí, Él me hace esto desde que tengo 8 años hasta ahora que tengo 15 años, he pensado en él suicidio también en escapar de mi casa. Pero no solo de imaginar el daño que le causaría a mi madre, a mis hermanos, a pesar de que ya lo denuncie una vez era demasiado pequeña como para que me creyeran hasta la fecha no le he vuelto a decir a nadie por miedo, tengo miedo de que lastime a mis hermanos, a en él no le importa cuantas veces le pida que pare, que por favor ya no lo haga, no le importa tener una hija de mi edad, a él solo le importa tocar mi cuerpo lastimarme. Lo sigue haciendo y de verdad ya no se que hacer. 

Lo cuento aquí, porque no tengo a nadie a quien contarle.

#Cuentalo no lo calles.",0
Republicado,4/30/2018 13:45:53,Anónimo,,,Estados Unidos,,,"me llamo iris , tengo 22 años. 
ala edad de 17 casi 18 ya vivía sola y trabaja hasta tarde un dia un muchacho muy simpático y de mi misma edad venía con todo un equipo de soccer y pidio mi numero más tarde quede de verlo y al decirle que me tenía que ir me tomo ala fuerza y desperté a jalones en cuarto de hotel rodeada de 8 chicos intentando abusar de mi , al salir corriendo él entrenador quiso detenerme jalando el cabello , corrí como pude sin chamarra y zapatos hasta mi casa porque venían siguiendo . gracias a dios pude escapar , después de todo lo acabo de confesar a mis padres hace 1 año por miedo y vergüenza . #cuentalo",0
Republicado,4/30/2018 13:56:54,Anónimo,,,Colombia,,,"Entre los 2 y 8, fui violada vaginal, oral y analmente por un primo 12 años mayor que yo, nunca nadie se enteró, nadie me salvó. Un día tuve mi pequeña valentía y decirle que si me volvía a tocar iba a contar a mi familia; pensé que había terminado.
 A mis 18, posterior a la pérdida de un bebé conocí un hombre, me amaba y quería, teníamos sexo y nunca quise hacerlo anal, un día intenta hacerlo, no lo deje y comenzaron los problemas. Tan sólo duramos un año y después de problemas de celos lo dejo.
 Dos años,  cuando tenía 21 ,después de días llenos de acosos y obsesiones le paga a un habitante de calle para que me viole, por dos horas me violó alguien me escucho y me rescató la Policía.
 Tuve varias cirugías porque destrozó MI ano, múltiples heridas mordiscos, golpes y marcas de uñas quedaron en mi piel; después del juicio en el cual siempre fui tratada con dignidad mi agresor material fue condenado por tres delitos y después de dos años se suicida. MI ex pareja nunca pudo ser juzgada, aún lo veo e intenta que vuelva con él.
Ahora tengo 24 años y ando armada.
Busco superarlo. Nadie sabe esto.
Cada día me amo y busco ayudar mujeres en mi misma situación.
#cuenta #Colombia #yocuentomihistoria",0
Republicado,4/30/2018 14:01:22,Anónimo,,,Ecuador,,,"Termine con mi novio por sus celos enfermizos, conocí a un chico maravilloso fueron los mejores meses. Mi ex novio lo golpea brutalmente, moría de vergüenza sin embargo él chico sigue conmigo yo solo era su amiga y estábamos conociéndonos, sin embargo un día mi ex novio llega a mi casa y me obliga a tener relaciones sexuales de ""despedida"" me embarazó. No tuve más opción que regresar con él. Deje al chico maravilloso por él padre de mi hijo. Ahora dos años después vivo golpeada e insultada todos los días de mi vida, he dejado la universidad, he dejado mi vida ",0
Republicado,4/30/2018 14:03:15,Anónimo,,,Ecuador,,,"Todos los días oro para que no sea él último de mi vida. Lloro en silencio recordando lo cobarde que soy. Vivo con miedo siempre con miedo, me defiendo como puedo he reunido fuerza sin embargo él es más fuerte y siempre termino en el suelo golpeada o al lado de mi hijo pateada. Auxilio. Mi familia no me ayuda dicen que es mi esposo y debo aguantar. ",0
Republicado,4/30/2018 14:05:32,Anónimo,,,España,,,Tenía unos 16 años iba a coger el tren para ir a trabajar de prácticas.fui por un camino que bordeaba las vías del tren.un tipo paro me pidio la hora y me pare para dársela momento que aprovechó para rozar los pechos.hoy con 38 lo he contado.siempre creí que es lo que pasa por ir x caminos x los que no debería haber ido.nunca lo compartí con nadie.hoy gracias a todas las publicaciones me he dado cuenta que tengo derecho a ir x donde me da la gana,0
Republicado,4/30/2018 14:10:44,Anónimo,,,España,,,Mi profesor en 8avo egb me  mientras hacíamos un ejercicio en clase y haciendo ver que miraba lo que hacía metió su mano por dentro de mi camiseta por la espalda como si buscara si llevaba sujetador.me parecio eterno no entendia nada....,0
